id;name;category;rec;target
1;Церковь Космы и Дамиана;5;4;1
1;Церковь Космы и Дамиана;5;4;1
1;Церковь Космы и Дамиана;5;5;1
1;Церковь Космы и Дамиана;5;4;1
1;Церковь Космы и Дамиана;5;5;1
1;Церковь Космы и Дамиана;5;5;1
1;Церковь Космы и Дамиана;5;5;1
1;Церковь Космы и Дамиана;5;5;1
1;Церковь Космы и Дамиана;5;5;1
1;Церковь Космы и Дамиана;5;5;1
1;Церковь Космы и Дамиана;4;5;1
1;Церковь Космы и Дамиана;4;3;1
1;Церковь Космы и Дамиана;4;4;1
1;Церковь Космы и Дамиана;4;4;1
1;Церковь Космы и Дамиана;4;3;1
1;Церковь Космы и Дамиана;4;4;1
1;Церковь Космы и Дамиана;4;4;1
1;Церковь Космы и Дамиана;4;3;1
1;Церковь Космы и Дамиана;4;3;1
1;Церковь Космы и Дамиана;4;4;1
1;Церковь Космы и Дамиана;3;4;0
1;Церковь Космы и Дамиана;3;2;0
1;Церковь Космы и Дамиана;3;4;0
1;Церковь Космы и Дамиана;3;4;0
1;Церковь Космы и Дамиана;3;2;0
1;Церковь Космы и Дамиана;3;2;0
1;Церковь Космы и Дамиана;3;3;0
1;Церковь Космы и Дамиана;3;4;0
1;Церковь Космы и Дамиана;3;3;0
1;Церковь Космы и Дамиана;3;2;0
1;Церковь Космы и Дамиана;3;2;0
1;Церковь Космы и Дамиана;2;1;0
1;Церковь Космы и Дамиана;2;2;0
1;Церковь Космы и Дамиана;2;1;0
1;Церковь Космы и Дамиана;2;1;0
1;Церковь Космы и Дамиана;2;2;0
1;Церковь Космы и Дамиана;2;3;0
1;Церковь Космы и Дамиана;2;1;0
1;Церковь Космы и Дамиана;2;1;0
1;Церковь Космы и Дамиана;2;2;0
1;Церковь Космы и Дамиана;2;2;0
1;Церковь Космы и Дамиана;1;1;0
1;Церковь Космы и Дамиана;1;1;0
1;Церковь Космы и Дамиана;1;2;0
1;Церковь Космы и Дамиана;1;2;0
1;Церковь Космы и Дамиана;1;2;0
1;Церковь Космы и Дамиана;1;2;0
1;Церковь Космы и Дамиана;1;2;0
1;Церковь Космы и Дамиана;1;2;0
1;Церковь Космы и Дамиана;1;1;0
2;Церковь святого Людовика;5;4;1
2;Церковь святого Людовика;5;5;1
2;Церковь святого Людовика;5;5;1
2;Церковь святого Людовика;5;4;1
2;Церковь святого Людовика;5;5;1
2;Церковь святого Людовика;5;4;1
2;Церковь святого Людовика;5;4;1
2;Церковь святого Людовика;5;4;1
2;Церковь святого Людовика;5;4;1
2;Церковь святого Людовика;5;4;1
2;Церковь святого Людовика;4;3;1
2;Церковь святого Людовика;4;4;1
2;Церковь святого Людовика;4;3;1
2;Церковь святого Людовика;4;4;1
2;Церковь святого Людовика;4;5;1
2;Церковь святого Людовика;4;3;1
2;Церковь святого Людовика;4;5;1
2;Церковь святого Людовика;4;5;1
2;Церковь святого Людовика;4;3;1
2;Церковь святого Людовика;4;4;1
2;Церковь святого Людовика;3;2;0
2;Церковь святого Людовика;3;3;0
2;Церковь святого Людовика;3;2;0
2;Церковь святого Людовика;3;2;0
2;Церковь святого Людовика;3;2;0
2;Церковь святого Людовика;3;3;0
2;Церковь святого Людовика;3;4;0
2;Церковь святого Людовика;3;4;0
2;Церковь святого Людовика;3;4;0
2;Церковь святого Людовика;3;4;0
2;Церковь святого Людовика;3;2;0
2;Церковь святого Людовика;2;3;0
2;Церковь святого Людовика;2;1;0
2;Церковь святого Людовика;2;2;0
2;Церковь святого Людовика;2;2;0
2;Церковь святого Людовика;2;3;0
2;Церковь святого Людовика;2;1;0
2;Церковь святого Людовика;2;2;0
2;Церковь святого Людовика;2;2;0
2;Церковь святого Людовика;2;1;0
2;Церковь святого Людовика;2;3;0
2;Церковь святого Людовика;1;2;0
2;Церковь святого Людовика;1;1;0
2;Церковь святого Людовика;1;2;0
2;Церковь святого Людовика;1;1;0
2;Церковь святого Людовика;1;1;0
2;Церковь святого Людовика;1;1;0
2;Церковь святого Людовика;1;1;0
2;Церковь святого Людовика;1;2;0
2;Церковь святого Людовика;1;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;5;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;5;4;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;5;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;5;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;5;4;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;5;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;5;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;5;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;5;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;5;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;4;4;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;4;3;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;4;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;4;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;4;3;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;4;3;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;4;3;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;4;3;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;4;3;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;4;5;1
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;4;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;3;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;3;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;3;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;4;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;3;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;3;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;3;4;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;2;1;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;2;3;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;2;1;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;2;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;2;3;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;2;1;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;2;1;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;2;3;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;2;1;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;2;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;1;1;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;1;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;1;1;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;1;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;1;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;1;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;1;1;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;1;2;0
3;Церковь Владимира Равноапостольного при Епархиальном доме;1;1;0
4;Церковь Иоанна Богослова на Бронной;5;4;1
4;Церковь Иоанна Богослова на Бронной;5;4;1
4;Церковь Иоанна Богослова на Бронной;5;5;1
4;Церковь Иоанна Богослова на Бронной;5;4;1
4;Церковь Иоанна Богослова на Бронной;5;4;1
