id;name;category;rec;target
1;Музей археологии Москвы;5;5;1
1;Музей археологии Москвы;5;4;1
1;Музей археологии Москвы;5;5;1
1;Музей археологии Москвы;5;4;1
1;Музей археологии Москвы;5;4;1
1;Музей археологии Москвы;5;4;1
1;Музей археологии Москвы;5;5;1
1;Музей археологии Москвы;5;4;1
1;Музей археологии Москвы;5;5;1
1;Музей археологии Москвы;5;4;1
1;Музей археологии Москвы;4;4;1
1;Музей археологии Москвы;4;4;1
1;Музей археологии Москвы;4;3;1
1;Музей археологии Москвы;4;3;1
1;Музей археологии Москвы;4;5;1
1;Музей археологии Москвы;4;5;1
1;Музей археологии Москвы;4;3;1
1;Музей археологии Москвы;4;3;1
1;Музей археологии Москвы;4;5;1
1;Музей археологии Москвы;4;3;1
1;Музей археологии Москвы;3;4;0
1;Музей археологии Москвы;3;2;0
1;Музей археологии Москвы;3;2;0
1;Музей археологии Москвы;3;3;0
1;Музей археологии Москвы;3;2;0
1;Музей археологии Москвы;3;2;0
1;Музей археологии Москвы;3;2;0
1;Музей археологии Москвы;3;3;0
1;Музей археологии Москвы;3;2;0
1;Музей археологии Москвы;3;2;0
1;Музей археологии Москвы;3;2;0
1;Музей археологии Москвы;2;1;0
1;Музей археологии Москвы;2;3;0
1;Музей археологии Москвы;2;3;0
1;Музей археологии Москвы;2;3;0
1;Музей археологии Москвы;2;2;0
1;Музей археологии Москвы;2;3;0
1;Музей археологии Москвы;2;1;0
1;Музей археологии Москвы;2;1;0
1;Музей археологии Москвы;2;1;0
1;Музей археологии Москвы;2;2;0
1;Музей археологии Москвы;1;2;0
1;Музей археологии Москвы;1;2;0
1;Музей археологии Москвы;1;2;0
1;Музей археологии Москвы;1;2;0
1;Музей археологии Москвы;1;1;0
1;Музей археологии Москвы;1;1;0
1;Музей археологии Москвы;1;1;0
1;Музей археологии Москвы;1;1;0
1;Музей археологии Москвы;1;1;0
2;Музей Отечественной войны 1812 года;5;5;1
2;Музей Отечественной войны 1812 года;5;4;1
2;Музей Отечественной войны 1812 года;5;4;1
2;Музей Отечественной войны 1812 года;5;4;1
2;Музей Отечественной войны 1812 года;5;5;1
2;Музей Отечественной войны 1812 года;5;4;1
2;Музей Отечественной войны 1812 года;5;5;1
2;Музей Отечественной войны 1812 года;5;5;1
2;Музей Отечественной войны 1812 года;5;4;1
2;Музей Отечественной войны 1812 года;5;4;1
2;Музей Отечественной войны 1812 года;4;3;1
2;Музей Отечественной войны 1812 года;4;5;1
2;Музей Отечественной войны 1812 года;4;5;1
2;Музей Отечественной войны 1812 года;4;3;1
2;Музей Отечественной войны 1812 года;4;3;1
2;Музей Отечественной войны 1812 года;4;4;1
2;Музей Отечественной войны 1812 года;4;4;1
2;Музей Отечественной войны 1812 года;4;4;1
2;Музей Отечественной войны 1812 года;4;5;1
2;Музей Отечественной войны 1812 года;4;3;1
2;Музей Отечественной войны 1812 года;3;2;0
2;Музей Отечественной войны 1812 года;3;2;0
2;Музей Отечественной войны 1812 года;3;4;0
2;Музей Отечественной войны 1812 года;3;4;0
2;Музей Отечественной войны 1812 года;3;3;0
2;Музей Отечественной войны 1812 года;3;3;0
2;Музей Отечественной войны 1812 года;3;4;0
2;Музей Отечественной войны 1812 года;3;4;0
2;Музей Отечественной войны 1812 года;3;2;0
2;Музей Отечественной войны 1812 года;3;2;0
2;Музей Отечественной войны 1812 года;3;2;0
2;Музей Отечественной войны 1812 года;2;1;0
2;Музей Отечественной войны 1812 года;2;3;0
2;Музей Отечественной войны 1812 года;2;1;0
2;Музей Отечественной войны 1812 года;2;3;0
2;Музей Отечественной войны 1812 года;2;2;0
2;Музей Отечественной войны 1812 года;2;3;0
2;Музей Отечественной войны 1812 года;2;1;0
2;Музей Отечественной войны 1812 года;2;3;0
2;Музей Отечественной войны 1812 года;2;3;0
2;Музей Отечественной войны 1812 года;2;1;0
2;Музей Отечественной войны 1812 года;1;2;0
2;Музей Отечественной войны 1812 года;1;2;0
2;Музей Отечественной войны 1812 года;1;2;0
2;Музей Отечественной войны 1812 года;1;1;0
2;Музей Отечественной войны 1812 года;1;2;0
2;Музей Отечественной войны 1812 года;1;1;0
2;Музей Отечественной войны 1812 года;1;2;0
2;Музей Отечественной войны 1812 года;1;1;0
2;Музей Отечественной войны 1812 года;1;1;0
3;Музей Оружейный подвал;5;5;1
3;Музей Оружейный подвал;5;5;1
3;Музей Оружейный подвал;5;4;1
3;Музей Оружейный подвал;5;5;1
3;Музей Оружейный подвал;5;5;1
3;Музей Оружейный подвал;5;5;1
3;Музей Оружейный подвал;5;4;1
3;Музей Оружейный подвал;5;5;1
3;Музей Оружейный подвал;5;5;1
3;Музей Оружейный подвал;5;4;1
3;Музей Оружейный подвал;4;5;1
3;Музей Оружейный подвал;4;4;1
3;Музей Оружейный подвал;4;3;1
3;Музей Оружейный подвал;4;5;1
3;Музей Оружейный подвал;4;4;1
3;Музей Оружейный подвал;4;3;1
3;Музей Оружейный подвал;4;5;1
3;Музей Оружейный подвал;4;5;1
3;Музей Оружейный подвал;4;4;1
3;Музей Оружейный подвал;4;5;1
3;Музей Оружейный подвал;3;4;0
3;Музей Оружейный подвал;3;4;0
3;Музей Оружейный подвал;3;4;0
3;Музей Оружейный подвал;3;4;0
3;Музей Оружейный подвал;3;3;0
3;Музей Оружейный подвал;3;2;0
3;Музей Оружейный подвал;3;2;0
3;Музей Оружейный подвал;3;3;0
3;Музей Оружейный подвал;3;2;0
3;Музей Оружейный подвал;3;3;0
3;Музей Оружейный подвал;3;3;0
3;Музей Оружейный подвал;2;2;0
3;Музей Оружейный подвал;2;1;0
3;Музей Оружейный подвал;2;3;0
3;Музей Оружейный подвал;2;2;0
3;Музей Оружейный подвал;2;2;0
3;Музей Оружейный подвал;2;2;0
3;Музей Оружейный подвал;2;3;0
3;Музей Оружейный подвал;2;2;0
3;Музей Оружейный подвал;2;2;0
3;Музей Оружейный подвал;2;2;0
3;Музей Оружейный подвал;1;1;0
3;Музей Оружейный подвал;1;1;0
3;Музей Оружейный подвал;1;1;0
3;Музей Оружейный подвал;1;1;0
3;Музей Оружейный подвал;1;1;0
3;Музей Оружейный подвал;1;1;0
3;Музей Оружейный подвал;1;1;0
3;Музей Оружейный подвал;1;2;0
3;Музей Оружейный подвал;1;2;0
4;Музей уникальных кукол;5;5;1
4;Музей уникальных кукол;5;4;1
4;Музей уникальных кукол;5;5;1
4;Музей уникальных кукол;5;4;1
4;Музей уникальных кукол;5;5;1
4;Музей уникальных кукол;5;4;1
4;Музей уникальных кукол;5;5;1
4;Музей уникальных кукол;5;5;1
4;Музей уникальных кукол;5;5;1
