id;name;category;rec;target
1;Метехи;5;4;1
1;Метехи;5;4;1
1;Метехи;5;4;1
1;Метехи;5;5;1
1;Метехи;5;4;1
1;Метехи;5;4;1
1;Метехи;5;4;1
1;Метехи;5;4;1
1;Метехи;5;5;1
1;Метехи;5;4;1
1;Метехи;4;4;1
1;Метехи;4;3;1
1;Метехи;4;5;1
1;Метехи;4;3;1
1;Метехи;4;5;1
1;Метехи;4;5;1
1;Метехи;4;3;1
1;Метехи;4;3;1
1;Метехи;4;3;1
1;Метехи;4;4;1
1;Метехи;3;3;0
1;Метехи;3;2;0
1;Метехи;3;2;0
1;Метехи;3;2;0
1;Метехи;3;3;0
1;Метехи;3;3;0
1;Метехи;3;4;0
1;Метехи;3;4;0
1;Метехи;3;2;0
1;Метехи;3;2;0
1;Метехи;3;4;0
1;Метехи;2;3;0
1;Метехи;2;2;0
1;Метехи;2;3;0
1;Метехи;2;3;0
1;Метехи;2;1;0
1;Метехи;2;3;0
1;Метехи;2;1;0
1;Метехи;2;1;0
1;Метехи;2;3;0
1;Метехи;2;1;0
1;Метехи;1;1;0
1;Метехи;1;2;0
1;Метехи;1;2;0
1;Метехи;1;2;0
1;Метехи;1;2;0
1;Метехи;1;2;0
1;Метехи;1;1;0
1;Метехи;1;2;0
1;Метехи;1;1;0
2;Kaif Provenance;5;4;1
2;Kaif Provenance;5;5;1
2;Kaif Provenance;5;4;1
2;Kaif Provenance;5;5;1
2;Kaif Provenance;5;5;1
2;Kaif Provenance;5;4;1
2;Kaif Provenance;5;5;1
2;Kaif Provenance;5;5;1
2;Kaif Provenance;5;4;1
2;Kaif Provenance;5;5;1
2;Kaif Provenance;4;3;1
2;Kaif Provenance;4;3;1
2;Kaif Provenance;4;3;1
2;Kaif Provenance;4;3;1
2;Kaif Provenance;4;3;1
2;Kaif Provenance;4;4;1
2;Kaif Provenance;4;4;1
2;Kaif Provenance;4;4;1
2;Kaif Provenance;4;3;1
2;Kaif Provenance;4;3;1
2;Kaif Provenance;3;4;0
2;Kaif Provenance;3;2;0
2;Kaif Provenance;3;3;0
2;Kaif Provenance;3;4;0
2;Kaif Provenance;3;3;0
2;Kaif Provenance;3;4;0
2;Kaif Provenance;3;4;0
2;Kaif Provenance;3;2;0
2;Kaif Provenance;3;2;0
2;Kaif Provenance;3;3;0
2;Kaif Provenance;3;4;0
2;Kaif Provenance;2;1;0
2;Kaif Provenance;2;2;0
2;Kaif Provenance;2;1;0
2;Kaif Provenance;2;1;0
2;Kaif Provenance;2;2;0
2;Kaif Provenance;2;1;0
2;Kaif Provenance;2;2;0
2;Kaif Provenance;2;1;0
2;Kaif Provenance;2;1;0
2;Kaif Provenance;2;1;0
2;Kaif Provenance;1;2;0
2;Kaif Provenance;1;2;0
2;Kaif Provenance;1;2;0
2;Kaif Provenance;1;1;0
2;Kaif Provenance;1;2;0
2;Kaif Provenance;1;2;0
2;Kaif Provenance;1;2;0
2;Kaif Provenance;1;1;0
2;Kaif Provenance;1;2;0
3;Паста;5;4;1
3;Паста;5;5;1
3;Паста;5;5;1
3;Паста;5;4;1
3;Паста;5;5;1
3;Паста;5;5;1
3;Паста;5;4;1
3;Паста;5;5;1
3;Паста;5;5;1
3;Паста;5;5;1
3;Паста;4;3;1
3;Паста;4;4;1
3;Паста;4;3;1
3;Паста;4;3;1
3;Паста;4;5;1
3;Паста;4;4;1
3;Паста;4;3;1
3;Паста;4;3;1
3;Паста;4;4;1
3;Паста;4;5;1
3;Паста;3;4;0
3;Паста;3;4;0
3;Паста;3;4;0
3;Паста;3;3;0
3;Паста;3;3;0
3;Паста;3;3;0
3;Паста;3;3;0
3;Паста;3;2;0
3;Паста;3;3;0
3;Паста;3;4;0
3;Паста;3;2;0
3;Паста;2;2;0
3;Паста;2;1;0
3;Паста;2;3;0
3;Паста;2;1;0
3;Паста;2;3;0
3;Паста;2;2;0
3;Паста;2;3;0
3;Паста;2;3;0
3;Паста;2;3;0
3;Паста;2;3;0
3;Паста;1;1;0
3;Паста;1;2;0
3;Паста;1;2;0
3;Паста;1;1;0
3;Паста;1;2;0
3;Паста;1;1;0
3;Паста;1;1;0
3;Паста;1;1;0
3;Паста;1;2;0
4;Эндис энд френдс;5;4;1
4;Эндис энд френдс;5;4;1
4;Эндис энд френдс;5;4;1
4;Эндис энд френдс;5;4;1
4;Эндис энд френдс;5;4;1
4;Эндис энд френдс;5;5;1
4;Эндис энд френдс;5;4;1
4;Эндис энд френдс;5;5;1
4;Эндис энд френдс;5;4;1
4;Эндис энд френдс;5;4;1
4;Эндис энд френдс;4;4;1
4;Эндис энд френдс;4;5;1
4;Эндис энд френдс;4;5;1
4;Эндис энд френдс;4;5;1
4;Эндис энд френдс;4;5;1
4;Эндис энд френдс;4;4;1
4;Эндис энд френдс;4;4;1
4;Эндис энд френдс;4;3;1
4;Эндис энд френдс;4;5;1
4;Эндис энд френдс;4;3;1
4;Эндис энд френдс;3;3;0
4;Эндис энд френдс;3;3;0
4;Эндис энд френдс;3;2;0
4;Эндис энд френдс;3;4;0
4;Эндис энд френдс;3;4;0
4;Эндис энд френдс;3;3;0
4;Эндис энд френдс;3;4;0
4;Эндис энд френдс;3;4;0
4;Эндис энд френдс;3;2;0
4;Эндис энд френдс;3;4;0
4;Эндис энд френдс;3;4;0
4;Эндис энд френдс;2;1;0
4;Эндис энд френдс;2;3;0
4;Эндис энд френдс;2;2;0
4;Эндис энд френдс;2;1;0
4;Эндис энд френдс;2;1;0
4;Эндис энд френдс;2;2;0
4;Эндис энд френдс;2;3;0
4;Эндис энд френдс;2;3;0
4;Эндис энд френдс;2;2;0
4;Эндис энд френдс;2;3;0
4;Эндис энд френдс;1;2;0
4;Эндис энд френдс;1;1;0
4;Эндис энд френдс;1;2;0
4;Эндис энд френдс;1;2;0
4;Эндис энд френдс;1;1;0
4;Эндис энд френдс;1;2;0
4;Эндис энд френдс;1;2;0
4;Эндис энд френдс;1;2;0
4;Эндис энд френдс;1;2;0
5;Valenok;5;4;1
5;Valenok;5;4;1
5;Valenok;5;4;1
5;Valenok;5;5;1
5;Valenok;5;5;1
5;Valenok;5;5;1
5;Valenok;5;5;1
5;Valenok;5;5;1
5;Valenok;5;4;1
5;Valenok;5;5;1
5;Valenok;4;4;1
5;Valenok;4;3;1
5;Valenok;4;5;1
5;Valenok;4;5;1
5;Valenok;4;5;1
5;Valenok;4;3;1
5;Valenok;4;3;1
5;Valenok;4;4;1
5;Valenok;4;4;1
5;Valenok;4;5;1
5;Valenok;3;3;0
5;Valenok;3;4;0
5;Valenok;3;2;0
5;Valenok;3;2;0
5;Valenok;3;2;0
5;Valenok;3;2;0
5;Valenok;3;2;0
5;Valenok;3;4;0
5;Valenok;3;4;0
5;Valenok;3;3;0
5;Valenok;3;2;0
5;Valenok;2;2;0
5;Valenok;2;3;0
5;Valenok;2;2;0
5;Valenok;2;1;0
5;Valenok;2;1;0
5;Valenok;2;3;0
5;Valenok;2;1;0
5;Valenok;2;1;0
5;Valenok;2;1;0
5;Valenok;2;3;0
5;Valenok;1;2;0
5;Valenok;1;2;0
5;Valenok;1;1;0
5;Valenok;1;2;0
5;Valenok;1;2;0
5;Valenok;1;1;0
5;Valenok;1;1;0
5;Valenok;1;2;0
5;Valenok;1;2;0
6;J'pan;5;5;1
6;J'pan;5;4;1
6;J'pan;5;5;1
6;J'pan;5;5;1
6;J'pan;5;5;1
6;J'pan;5;4;1
6;J'pan;5;5;1
6;J'pan;5;4;1
6;J'pan;5;4;1
6;J'pan;5;4;1
