id;name;category;rec;target
1;Цветной бульвар;5;4;1
1;Цветной бульвар;5;5;1
1;Цветной бульвар;5;5;1
1;Цветной бульвар;5;5;1
1;Цветной бульвар;5;4;1
1;Цветной бульвар;5;5;1
1;Цветной бульвар;5;4;1
1;Цветной бульвар;5;5;1
1;Цветной бульвар;5;4;1
1;Цветной бульвар;5;5;1
1;Цветной бульвар;4;4;1
1;Цветной бульвар;4;3;1
1;Цветной бульвар;4;5;1
1;Цветной бульвар;4;4;1
1;Цветной бульвар;4;5;1
1;Цветной бульвар;4;3;1
1;Цветной бульвар;4;4;1
1;Цветной бульвар;4;4;1
1;Цветной бульвар;4;5;1
1;Цветной бульвар;4;4;1
1;Цветной бульвар;3;4;0
1;Цветной бульвар;3;3;0
1;Цветной бульвар;3;3;0
1;Цветной бульвар;3;3;0
1;Цветной бульвар;3;3;0
1;Цветной бульвар;3;3;0
1;Цветной бульвар;3;4;0
1;Цветной бульвар;3;4;0
1;Цветной бульвар;3;2;0
1;Цветной бульвар;3;4;0
1;Цветной бульвар;3;2;0
1;Цветной бульвар;2;1;0
1;Цветной бульвар;2;2;0
1;Цветной бульвар;2;3;0
1;Цветной бульвар;2;1;0
1;Цветной бульвар;2;3;0
1;Цветной бульвар;2;1;0
1;Цветной бульвар;2;2;0
1;Цветной бульвар;2;2;0
1;Цветной бульвар;2;2;0
1;Цветной бульвар;2;2;0
1;Цветной бульвар;1;1;0
1;Цветной бульвар;1;2;0
1;Цветной бульвар;1;2;0
1;Цветной бульвар;1;1;0
1;Цветной бульвар;1;1;0
1;Цветной бульвар;1;1;0
1;Цветной бульвар;1;1;0
1;Цветной бульвар;1;2;0
1;Цветной бульвар;1;1;0
2;Сад культуры и отдыха имени Н.Э. Баумана;5;4;1
2;Сад культуры и отдыха имени Н.Э. Баумана;5;4;1
2;Сад культуры и отдыха имени Н.Э. Баумана;5;5;1
2;Сад культуры и отдыха имени Н.Э. Баумана;5;5;1
2;Сад культуры и отдыха имени Н.Э. Баумана;5;4;1
2;Сад культуры и отдыха имени Н.Э. Баумана;5;4;1
2;Сад культуры и отдыха имени Н.Э. Баумана;5;5;1
2;Сад культуры и отдыха имени Н.Э. Баумана;5;4;1
2;Сад культуры и отдыха имени Н.Э. Баумана;5;5;1
2;Сад культуры и отдыха имени Н.Э. Баумана;5;4;1
2;Сад культуры и отдыха имени Н.Э. Баумана;4;3;1
2;Сад культуры и отдыха имени Н.Э. Баумана;4;3;1
2;Сад культуры и отдыха имени Н.Э. Баумана;4;3;1
2;Сад культуры и отдыха имени Н.Э. Баумана;4;4;1
2;Сад культуры и отдыха имени Н.Э. Баумана;4;4;1
2;Сад культуры и отдыха имени Н.Э. Баумана;4;5;1
2;Сад культуры и отдыха имени Н.Э. Баумана;4;4;1
2;Сад культуры и отдыха имени Н.Э. Баумана;4;4;1
2;Сад культуры и отдыха имени Н.Э. Баумана;4;3;1
2;Сад культуры и отдыха имени Н.Э. Баумана;4;3;1
2;Сад культуры и отдыха имени Н.Э. Баумана;3;3;0
2;Сад культуры и отдыха имени Н.Э. Баумана;3;4;0
2;Сад культуры и отдыха имени Н.Э. Баумана;3;3;0
2;Сад культуры и отдыха имени Н.Э. Баумана;3;3;0
2;Сад культуры и отдыха имени Н.Э. Баумана;3;4;0
2;Сад культуры и отдыха имени Н.Э. Баумана;3;3;0
2;Сад культуры и отдыха имени Н.Э. Баумана;3;4;0
2;Сад культуры и отдыха имени Н.Э. Баумана;3;2;0
2;Сад культуры и отдыха имени Н.Э. Баумана;3;2;0
2;Сад культуры и отдыха имени Н.Э. Баумана;3;3;0
2;Сад культуры и отдыха имени Н.Э. Баумана;3;4;0
2;Сад культуры и отдыха имени Н.Э. Баумана;2;3;0
2;Сад культуры и отдыха имени Н.Э. Баумана;2;1;0
2;Сад культуры и отдыха имени Н.Э. Баумана;2;1;0
2;Сад культуры и отдыха имени Н.Э. Баумана;2;1;0
2;Сад культуры и отдыха имени Н.Э. Баумана;2;3;0
2;Сад культуры и отдыха имени Н.Э. Баумана;2;1;0
2;Сад культуры и отдыха имени Н.Э. Баумана;2;3;0
2;Сад культуры и отдыха имени Н.Э. Баумана;2;3;0
2;Сад культуры и отдыха имени Н.Э. Баумана;2;3;0
2;Сад культуры и отдыха имени Н.Э. Баумана;2;2;0
2;Сад культуры и отдыха имени Н.Э. Баумана;1;1;0
2;Сад культуры и отдыха имени Н.Э. Баумана;1;1;0
2;Сад культуры и отдыха имени Н.Э. Баумана;1;2;0
2;Сад культуры и отдыха имени Н.Э. Баумана;1;1;0
2;Сад культуры и отдыха имени Н.Э. Баумана;1;2;0
2;Сад культуры и отдыха имени Н.Э. Баумана;1;2;0
2;Сад культуры и отдыха имени Н.Э. Баумана;1;2;0
2;Сад культуры и отдыха имени Н.Э. Баумана;1;1;0
2;Сад культуры и отдыха имени Н.Э. Баумана;1;2;0
3;Сквер Мандельштама;5;5;1
3;Сквер Мандельштама;5;5;1
3;Сквер Мандельштама;5;5;1
3;Сквер Мандельштама;5;5;1
3;Сквер Мандельштама;5;4;1
3;Сквер Мандельштама;5;5;1
3;Сквер Мандельштама;5;5;1
3;Сквер Мандельштама;5;4;1
3;Сквер Мандельштама;5;5;1
3;Сквер Мандельштама;5;5;1
3;Сквер Мандельштама;4;5;1
3;Сквер Мандельштама;4;4;1
3;Сквер Мандельштама;4;5;1
3;Сквер Мандельштама;4;5;1
3;Сквер Мандельштама;4;5;1
3;Сквер Мандельштама;4;5;1
3;Сквер Мандельштама;4;3;1
3;Сквер Мандельштама;4;5;1
3;Сквер Мандельштама;4;5;1
3;Сквер Мандельштама;4;3;1
3;Сквер Мандельштама;3;2;0
3;Сквер Мандельштама;3;4;0
3;Сквер Мандельштама;3;2;0
3;Сквер Мандельштама;3;3;0
3;Сквер Мандельштама;3;3;0
3;Сквер Мандельштама;3;4;0
3;Сквер Мандельштама;3;2;0
3;Сквер Мандельштама;3;4;0
3;Сквер Мандельштама;3;3;0
3;Сквер Мандельштама;3;3;0
3;Сквер Мандельштама;3;3;0
3;Сквер Мандельштама;2;1;0
3;Сквер Мандельштама;2;2;0
3;Сквер Мандельштама;2;1;0
3;Сквер Мандельштама;2;1;0
3;Сквер Мандельштама;2;2;0
3;Сквер Мандельштама;2;3;0
3;Сквер Мандельштама;2;1;0
3;Сквер Мандельштама;2;2;0
3;Сквер Мандельштама;2;2;0
3;Сквер Мандельштама;2;1;0
