id;name;category;rec;target
1;Дом с беременными кариатидами;5;5;1
1;Дом с беременными кариатидами;5;5;1
1;Дом с беременными кариатидами;5;5;1
1;Дом с беременными кариатидами;5;4;1
1;Дом с беременными кариатидами;5;4;1
1;Дом с беременными кариатидами;5;5;1
1;Дом с беременными кариатидами;5;5;1
1;Дом с беременными кариатидами;5;5;1
1;Дом с беременными кариатидами;5;4;1
1;Дом с беременными кариатидами;5;4;1
1;Дом с беременными кариатидами;4;3;1
1;Дом с беременными кариатидами;4;4;1
1;Дом с беременными кариатидами;4;4;1
1;Дом с беременными кариатидами;4;5;1
1;Дом с беременными кариатидами;4;5;1
1;Дом с беременными кариатидами;4;3;1
1;Дом с беременными кариатидами;4;5;1
1;Дом с беременными кариатидами;4;5;1
1;Дом с беременными кариатидами;4;4;1
1;Дом с беременными кариатидами;4;4;1
1;Дом с беременными кариатидами;3;3;0
1;Дом с беременными кариатидами;3;2;0
1;Дом с беременными кариатидами;3;2;0
1;Дом с беременными кариатидами;3;4;0
1;Дом с беременными кариатидами;3;3;0
1;Дом с беременными кариатидами;3;4;0
1;Дом с беременными кариатидами;3;3;0
1;Дом с беременными кариатидами;3;4;0
1;Дом с беременными кариатидами;3;2;0
1;Дом с беременными кариатидами;3;3;0
1;Дом с беременными кариатидами;3;2;0
1;Дом с беременными кариатидами;2;3;0
1;Дом с беременными кариатидами;2;1;0
1;Дом с беременными кариатидами;2;3;0
1;Дом с беременными кариатидами;2;3;0
1;Дом с беременными кариатидами;2;2;0
1;Дом с беременными кариатидами;2;1;0
1;Дом с беременными кариатидами;2;2;0
1;Дом с беременными кариатидами;2;2;0
1;Дом с беременными кариатидами;2;3;0
1;Дом с беременными кариатидами;2;3;0
1;Дом с беременными кариатидами;1;2;0
1;Дом с беременными кариатидами;1;2;0
1;Дом с беременными кариатидами;1;1;0
1;Дом с беременными кариатидами;1;1;0
1;Дом с беременными кариатидами;1;2;0
1;Дом с беременными кариатидами;1;1;0
