id;name;category;rec;target
1;Памятник А. П. Чехову;5;5;1
1;Памятник А. П. Чехову;5;4;1
1;Памятник А. П. Чехову;5;4;1
1;Памятник А. П. Чехову;5;4;1
1;Памятник А. П. Чехову;5;5;1
1;Памятник А. П. Чехову;5;5;1
1;Памятник А. П. Чехову;5;4;1
1;Памятник А. П. Чехову;5;4;1
1;Памятник А. П. Чехову;5;4;1
1;Памятник А. П. Чехову;5;4;1
1;Памятник А. П. Чехову;4;5;1
1;Памятник А. П. Чехову;4;4;1
1;Памятник А. П. Чехову;4;4;1
1;Памятник А. П. Чехову;4;3;1
1;Памятник А. П. Чехову;4;3;1
1;Памятник А. П. Чехову;4;4;1
1;Памятник А. П. Чехову;4;5;1
1;Памятник А. П. Чехову;4;5;1
1;Памятник А. П. Чехову;4;5;1
1;Памятник А. П. Чехову;4;3;1
1;Памятник А. П. Чехову;3;4;0
1;Памятник А. П. Чехову;3;2;0
1;Памятник А. П. Чехову;3;4;0
1;Памятник А. П. Чехову;3;4;0
1;Памятник А. П. Чехову;3;2;0
1;Памятник А. П. Чехову;3;2;0
1;Памятник А. П. Чехову;3;3;0
1;Памятник А. П. Чехову;3;3;0
1;Памятник А. П. Чехову;3;3;0
1;Памятник А. П. Чехову;3;3;0
1;Памятник А. П. Чехову;3;2;0
1;Памятник А. П. Чехову;2;3;0
1;Памятник А. П. Чехову;2;3;0
1;Памятник А. П. Чехову;2;2;0
1;Памятник А. П. Чехову;2;3;0
1;Памятник А. П. Чехову;2;3;0
1;Памятник А. П. Чехову;2;3;0
1;Памятник А. П. Чехову;2;3;0
1;Памятник А. П. Чехову;2;2;0
1;Памятник А. П. Чехову;2;2;0
1;Памятник А. П. Чехову;2;2;0
1;Памятник А. П. Чехову;1;1;0
1;Памятник А. П. Чехову;1;2;0
1;Памятник А. П. Чехову;1;1;0
1;Памятник А. П. Чехову;1;1;0
1;Памятник А. П. Чехову;1;1;0
1;Памятник А. П. Чехову;1;2;0
1;Памятник А. П. Чехову;1;2;0
1;Памятник А. П. Чехову;1;2;0
1;Памятник А. П. Чехову;1;2;0
2;Памятник советской семье;5;4;1
2;Памятник советской семье;5;5;1
2;Памятник советской семье;5;4;1
2;Памятник советской семье;5;4;1
2;Памятник советской семье;5;4;1
2;Памятник советской семье;5;5;1
2;Памятник советской семье;5;5;1
2;Памятник советской семье;5;5;1
2;Памятник советской семье;5;5;1
2;Памятник советской семье;5;4;1
2;Памятник советской семье;4;4;1
2;Памятник советской семье;4;3;1
2;Памятник советской семье;4;4;1
2;Памятник советской семье;4;3;1
2;Памятник советской семье;4;5;1
2;Памятник советской семье;4;4;1
2;Памятник советской семье;4;4;1
2;Памятник советской семье;4;3;1
2;Памятник советской семье;4;4;1
2;Памятник советской семье;4;4;1
2;Памятник советской семье;3;4;0
2;Памятник советской семье;3;2;0
2;Памятник советской семье;3;4;0
2;Памятник советской семье;3;3;0
2;Памятник советской семье;3;4;0
2;Памятник советской семье;3;3;0
2;Памятник советской семье;3;2;0
2;Памятник советской семье;3;3;0
2;Памятник советской семье;3;2;0
2;Памятник советской семье;3;4;0
2;Памятник советской семье;3;4;0
2;Памятник советской семье;2;2;0
2;Памятник советской семье;2;1;0
2;Памятник советской семье;2;1;0
2;Памятник советской семье;2;1;0
2;Памятник советской семье;2;3;0
2;Памятник советской семье;2;3;0
2;Памятник советской семье;2;2;0
2;Памятник советской семье;2;2;0
2;Памятник советской семье;2;3;0
2;Памятник советской семье;2;2;0
2;Памятник советской семье;1;1;0
2;Памятник советской семье;1;2;0
2;Памятник советской семье;1;2;0
2;Памятник советской семье;1;1;0
2;Памятник советской семье;1;1;0
2;Памятник советской семье;1;2;0
2;Памятник советской семье;1;1;0
2;Памятник советской семье;1;1;0
2;Памятник советской семье;1;2;0
3;Памятник Н.К. Крупской;5;5;1
3;Памятник Н.К. Крупской;5;5;1
3;Памятник Н.К. Крупской;5;5;1
3;Памятник Н.К. Крупской;5;5;1
3;Памятник Н.К. Крупской;5;5;1
3;Памятник Н.К. Крупской;5;5;1
3;Памятник Н.К. Крупской;5;4;1
3;Памятник Н.К. Крупской;5;4;1
3;Памятник Н.К. Крупской;5;4;1
3;Памятник Н.К. Крупской;5;4;1
3;Памятник Н.К. Крупской;4;4;1
3;Памятник Н.К. Крупской;4;5;1
3;Памятник Н.К. Крупской;4;5;1
3;Памятник Н.К. Крупской;4;3;1
3;Памятник Н.К. Крупской;4;5;1
3;Памятник Н.К. Крупской;4;5;1
3;Памятник Н.К. Крупской;4;5;1
3;Памятник Н.К. Крупской;4;4;1
3;Памятник Н.К. Крупской;4;4;1
3;Памятник Н.К. Крупской;4;5;1
3;Памятник Н.К. Крупской;3;4;0
3;Памятник Н.К. Крупской;3;3;0
3;Памятник Н.К. Крупской;3;4;0
3;Памятник Н.К. Крупской;3;3;0
3;Памятник Н.К. Крупской;3;3;0
3;Памятник Н.К. Крупской;3;4;0
3;Памятник Н.К. Крупской;3;2;0
3;Памятник Н.К. Крупской;3;4;0
3;Памятник Н.К. Крупской;3;2;0
3;Памятник Н.К. Крупской;3;2;0
3;Памятник Н.К. Крупской;3;2;0
3;Памятник Н.К. Крупской;2;1;0
3;Памятник Н.К. Крупской;2;1;0
3;Памятник Н.К. Крупской;2;1;0
3;Памятник Н.К. Крупской;2;3;0
3;Памятник Н.К. Крупской;2;3;0
3;Памятник Н.К. Крупской;2;2;0
3;Памятник Н.К. Крупской;2;3;0
3;Памятник Н.К. Крупской;2;3;0
3;Памятник Н.К. Крупской;2;2;0
3;Памятник Н.К. Крупской;2;2;0
3;Памятник Н.К. Крупской;1;2;0
3;Памятник Н.К. Крупской;1;2;0
3;Памятник Н.К. Крупской;1;2;0
3;Памятник Н.К. Крупской;1;2;0
3;Памятник Н.К. Крупской;1;1;0
3;Памятник Н.К. Крупской;1;1;0
3;Памятник Н.К. Крупской;1;2;0
3;Памятник Н.К. Крупской;1;1;0
3;Памятник Н.К. Крупской;1;2;0
4;Памятник В. В. Воровскому;5;5;1
4;Памятник В. В. Воровскому;5;5;1
4;Памятник В. В. Воровскому;5;4;1
4;Памятник В. В. Воровскому;5;5;1
4;Памятник В. В. Воровскому;5;4;1
4;Памятник В. В. Воровскому;5;4;1
4;Памятник В. В. Воровскому;5;5;1
4;Памятник В. В. Воровскому;5;5;1
4;Памятник В. В. Воровскому;5;5;1
4;Памятник В. В. Воровскому;5;5;1
4;Памятник В. В. Воровскому;4;4;1
4;Памятник В. В. Воровскому;4;4;1
4;Памятник В. В. Воровскому;4;5;1
4;Памятник В. В. Воровскому;4;3;1
4;Памятник В. В. Воровскому;4;4;1
4;Памятник В. В. Воровскому;4;4;1
4;Памятник В. В. Воровскому;4;5;1
4;Памятник В. В. Воровскому;4;3;1
4;Памятник В. В. Воровскому;4;4;1
4;Памятник В. В. Воровскому;4;4;1
4;Памятник В. В. Воровскому;3;3;0
4;Памятник В. В. Воровскому;3;2;0
4;Памятник В. В. Воровскому;3;3;0
4;Памятник В. В. Воровскому;3;4;0
4;Памятник В. В. Воровскому;3;2;0
4;Памятник В. В. Воровскому;3;2;0
4;Памятник В. В. Воровскому;3;2;0
4;Памятник В. В. Воровскому;3;3;0
4;Памятник В. В. Воровскому;3;2;0
4;Памятник В. В. Воровскому;3;4;0
4;Памятник В. В. Воровскому;3;3;0
4;Памятник В. В. Воровскому;2;2;0
4;Памятник В. В. Воровскому;2;2;0
4;Памятник В. В. Воровскому;2;2;0
4;Памятник В. В. Воровскому;2;3;0
4;Памятник В. В. Воровскому;2;2;0
4;Памятник В. В. Воровскому;2;1;0
4;Памятник В. В. Воровскому;2;1;0
4;Памятник В. В. Воровскому;2;3;0
4;Памятник В. В. Воровскому;2;2;0
4;Памятник В. В. Воровскому;2;3;0
4;Памятник В. В. Воровскому;1;2;0
4;Памятник В. В. Воровскому;1;1;0
4;Памятник В. В. Воровскому;1;1;0
4;Памятник В. В. Воровскому;1;1;0
4;Памятник В. В. Воровскому;1;2;0
4;Памятник В. В. Воровскому;1;1;0
4;Памятник В. В. Воровскому;1;1;0
4;Памятник В. В. Воровскому;1;1;0
4;Памятник В. В. Воровскому;1;1;0
5;Девушка кормит голубей;5;5;1
5;Девушка кормит голубей;5;4;1
5;Девушка кормит голубей;5;5;1
5;Девушка кормит голубей;5;5;1
5;Девушка кормит голубей;5;5;1
5;Девушка кормит голубей;5;5;1
5;Девушка кормит голубей;5;5;1
5;Девушка кормит голубей;5;5;1
5;Девушка кормит голубей;5;4;1
5;Девушка кормит голубей;5;4;1
5;Девушка кормит голубей;4;3;1
5;Девушка кормит голубей;4;3;1
5;Девушка кормит голубей;4;4;1
5;Девушка кормит голубей;4;5;1
5;Девушка кормит голубей;4;5;1
5;Девушка кормит голубей;4;5;1
5;Девушка кормит голубей;4;5;1
5;Девушка кормит голубей;4;5;1
5;Девушка кормит голубей;4;4;1
5;Девушка кормит голубей;4;4;1
5;Девушка кормит голубей;3;4;0
5;Девушка кормит голубей;3;2;0
5;Девушка кормит голубей;3;2;0
5;Девушка кормит голубей;3;2;0
5;Девушка кормит голубей;3;3;0
5;Девушка кормит голубей;3;2;0
5;Девушка кормит голубей;3;3;0
5;Девушка кормит голубей;3;3;0
5;Девушка кормит голубей;3;4;0
5;Девушка кормит голубей;3;4;0
5;Девушка кормит голубей;3;4;0
5;Девушка кормит голубей;2;2;0
