id;name;category;rec;target;;;;;;
1;Новый театр;5;4;1;;;;;;
1;Новый театр;5;5;1;;;;;;
1;Новый театр;5;4;1;;;;;;
1;Новый театр;5;5;1;;;;;;
1;Новый театр;5;5;1;;;;;;
1;Новый театр;5;4;1;;;;;;
1;Новый театр;5;5;1;;;;;;
1;Новый театр;5;4;1;;;;;;
1;Новый театр;5;5;1;;;;;;
1;Новый театр;5;4;1;;;;;;
1;Новый театр;4;5;1;;;;;;
1;Новый театр;4;3;1;;;;;;
1;Новый театр;4;5;1;;;;;;
1;Новый театр;4;5;1;;;;;;
1;Новый театр;4;5;1;;;;;;
1;Новый театр;4;5;1;;;;;;
1;Новый театр;4;3;1;;;;;;
1;Новый театр;4;3;1;;;;;;
1;Новый театр;4;4;1;;;;;;
1;Новый театр;4;4;1;;;;;;
1;Новый театр;3;3;0;;;;;;
1;Новый театр;3;4;0;;;;;;
1;Новый театр;3;2;0;;;;;;
1;Новый театр;3;3;0;;;;;;
1;Новый театр;3;2;0;;;;;;
1;Новый театр;3;4;0;;;;;;
1;Новый театр;3;3;0;;;;;;
1;Новый театр;3;2;0;;;;;;
1;Новый театр;3;4;0;;;;;;
1;Новый театр;3;3;0;;;;;;
1;Новый театр;3;3;0;;;;;;
1;Новый театр;2;1;0;;;;;;
1;Новый театр;2;1;0;;;;;;
1;Новый театр;2;3;0;;;;;;
1;Новый театр;2;3;0;;;;;;
1;Новый театр;2;2;0;;;;;;
1;Новый театр;2;2;0;;;;;;
1;Новый театр;2;1;0;;;;;;
1;Новый театр;2;2;0;;;;;;
1;Новый театр;2;1;0;;;;;;
1;Новый театр;2;3;0;;;;;;
1;Новый театр;1;2;0;;;;;;
1;Новый театр;1;2;0;;;;;;
1;Новый театр;1;2;0;;;;;;
1;Новый театр;1;1;0;;;;;;
1;Новый театр;1;1;0;;;;;;
1;Новый театр;1;2;0;;;;;;
1;Новый театр;1;2;0;;;;;;
1;Новый театр;1;2;0;;;;;;
1;Новый театр;1;1;0;;;;;;
2;Et Cetera;5;4;1;;;;;;
2;Et Cetera;5;4;1;;;;;;
2;Et Cetera;5;5;1;;;;;;
2;Et Cetera;5;4;1;;;;;;
2;Et Cetera;5;4;1;;;;;;
2;Et Cetera;5;5;1;;;;;;
2;Et Cetera;5;4;1;;;;;;
2;Et Cetera;5;4;1;;;;;;
2;Et Cetera;5;4;1;;;;;;
2;Et Cetera;5;5;1;;;;;;
2;Et Cetera;4;5;1;;;;;;
2;Et Cetera;4;5;1;;;;;;
2;Et Cetera;4;4;1;;;;;;
2;Et Cetera;4;3;1;;;;;;
